name,schema,siteAlias,siteName
Denis Part 2,denis-part-2,Denis,Denis
Poltava Part 2,poltava-part-2,POLTAVA,Poltava RCMCC
DigiScope,digiscope,DigiScope,DigiScope
Stethophone App,stethophone-app,Stethophone App,Stethophone App
Phonendo,phonendo,Phonendo,Phonendo
Poltava Part 1,poltava-part-1,POLTAVA,Poltava RCMCC
Poltava Part 3,poltava-part-3,POLTAVA,Poltava RCMCC
Strazhesko Part 3,strazhesko-part-3,STRAZHESKO,Cardio Institute
Potashev Part 2,potashev-part-2,POTASHEV,Potashev
Heart Harvest America,hha,Harvest America,Harvest America
Hosp Hum Part 3,hosphum-part-3,HOSP-HUM,Hospitals for Humanity
Potashev Part 1,potashev-part-1,POTASHEV,Potashev
Phisionet,phisionet,PhisioNet,PhisioNet
Vinil,vinil,vinil,Vinil
ARABIA,arabia,ARABIA,King Abdulaziz University
Hospital Metro Part 3,hospmetro-part-3,HOSPMETRO,Hospital Metropolitano
Strazhesko Part 2,strazhesko-part-2,STRAZHESKO,Cardio Institute
Suspected Innocent from Reallife,innocent-reallife,Stethophone App,Stethophone App
Clinic4,clinic4,Clinic4,RSPCC Minsk
Denis Part 1,denis-part-1,Denis,Denis
Strazhesko Part 1,strazhesko-part-1,STRAZHESKO,Cardio Institute
Cardiopiel Part 3,cardiopiel-part-3,CARDIOPIEL,Cardio Piel
Vintage,vintage,vintage,Vintage
Potashev Part 3,potashev-part-3,POTASHEV,Potashev
Amosov Part 3,amosov-part-3,AMOSOV,Amosov National Institute of Cardiovascular Surgery
YODA,yoda,YODA,Kiev Regional Cardiological Clinic (YODA)
Heart Harvest 1,harvest1,HH1,Kiev Regional Cardiological Clinic (HH1)